ID,DESCRIPTION,Attribut1,Rated Current (A),Rated Voltage (V),Rated Voltage (VDC),Rated Breaking Capacity (A),Mounting,Application
A001,"Voltguard Electric Fuse, Resettable, 1A, 32VAC, 250VDC, 100A (IR), Through Hole",Resettable,1A,32V,250V,100A,Through Hole,Industrial
A002,"AmpShield Electric Fuse, Resettable, 1A, 400VAC, 250VDC, 1500A (IR), Surface Mount",Resettable,1A,400V,250V,1500A,Surface Mount,Power Supply
A003,"Indicators PN Electric Fuse, Slow Blow, 0.5A, 32VAC, 48VDC, 50A (IR), Panel Mount",Slow Blow,0.5A,32V,48V,50A,Panel Mount,Power Supply
A004,"Voltguard Electric Fuse, HRC, 2A, 400VAC, 250VDC, 10000A (IR), Panel Mount",HRC,2A,400V,250V,10000A,Panel Mount,Telecom
A005,"CircuitSafe Electric Fuse, PTC, 20A, 125VAC, 24VDC, 50A (IR), Blade",PTC,20A,125V,24V,50A,Blade,Consumer Electronics
A006,"CircuitSafe Electric Fuse, Fast Blow, 2A, 125VAC, 24VDC, 35A (IR), Blade",Fast Blow,2A,125V,24V,35A,Blade,Automotive
A007,"Indicators PN Electric Fuse, Time Lag Blow, 20A, 125VAC, 24VDC, 10000A (IR), Blade",Time Lag Blow,20A,125V,24V,10000A,Blade,Power Supply
A008,"ProtecTech Electric Fuse, PTC, 1A, 300VAC, 60VDC, 10000A (IR), Panel Mount",PTC,1A,300V,60V,10000A,Panel Mount,Consumer Electronics
A009,"Indicators PN Electric Fuse, Fast Blow, 30A, 32VAC, 24VDC, 10000A (IR), Through Hole",Fast Blow,30A,32V,24V,10000A,Through Hole,Consumer Electronics
A010,"CircuitSafe Electric Fuse, Fast Blow, 1A, 250VAC, 60VDC, 200A (IR), Cartridge",Fast Blow,1A,250V,60V,200A,Cartridge,Industrial
A011,"Voltguard Electric Fuse, Time Lag Blow, 2A, 400VAC, 60VDC, 10000A (IR), Surface Mount",Time Lag Blow,2A,400V,60V,10000A,Surface Mount,Power Supply
A012,"ProtecTech Electric Fuse, HRC, 30A, 63VAC, 48VDC, 200A (IR), Blade",HRC,30A,63V,48V,200A,Blade,Consumer Electronics
A013,"AmpShield Electric Fuse, Fast Blow, 25A, 125VAC, 24VDC, 50A (IR), Surface Mount",Fast Blow,25A,125V,24V,50A,Surface Mount,Consumer Electronics
A014,"AmpShield Electric Fuse, Time Lag Blow, 1A, 63VAC, 150VDC, 10000A (IR), Cartridge",Time Lag Blow,1A,63V,150V,10000A,Cartridge,Industrial
A015,"ProtecTech Electric Fuse, PTC, 25A, 250VAC, 48VDC, 100A (IR), Through Hole",PTC,25A,250V,48V,100A,Through Hole,Industrial
A016,"CircuitSafe Electric Fuse, HRC, 3A, 400VAC, 150VDC, 200A (IR), Panel Mount",HRC,3A,400V,150V,200A,Panel Mount,Telecom
A017,"Voltguard Electric Fuse, Fast Blow, 1.5A, 300VAC, 125VDC, 35A (IR), Surface Mount",Fast Blow,1.5A,300V,125V,35A,Surface Mount,Automotive
A018,"AmpShield Electric Fuse, Resettable, 1.5A, 400VAC, 125VDC, 1500A (IR), Surface Mount",Resettable,1.5A,400V,125V,1500A,Surface Mount,Telecom
A019,"ProtecTech Electric Fuse, HRC, 10A, 300VAC, 60VDC, 1500A (IR), Surface Mount",HRC,10A,300V,60V,1500A,Surface Mount,Automotive
A020,"AmpShield Electric Fuse, Time Lag Blow, 25A, 125VAC, 24VDC, 100A (IR), Blade",Time Lag Blow,25A,125V,24V,100A,Blade,Industrial
A021,"Indicators PN Electric Fuse, Slow Blow, 30A, 400VAC, 60VDC, 1500A (IR), Through Hole",Slow Blow,30A,400V,60V,1500A,Through Hole,Power Supply
A022,"CircuitSafe Electric Fuse, Resettable, 3A, 400VAC, 150VDC, 1500A (IR), Through Hole",Resettable,3A,400V,150V,1500A,Through Hole,Industrial
A023,"Indicators PN Electric Fuse, Fast Blow, 15A, 300VAC, 24VDC, 1500A (IR), Cartridge",Fast Blow,15A,300V,24V,1500A,Cartridge,Telecom
A024,"Indicators PN Electric Fuse, Slow Blow, 5A, 125VAC, 48VDC, 35A (IR), Through Hole",Slow Blow,5A,125V,48V,35A,Through Hole,Power Supply
A025,"AmpShield Electric Fuse, Slow Blow, 30A, 250VAC, 24VDC, 1500A (IR), Through Hole",Slow Blow,30A,250V,24V,1500A,Through Hole,Industrial
A026,"ProtecTech Electric Fuse, HRC, 1.5A, 125VAC, 150VDC, 1500A (IR), Blade",HRC,1.5A,125V,150V,1500A,Blade,Industrial
A027,"AmpShield Electric Fuse, Resettable, 30A, 63VAC, 250VDC, 100A (IR), Blade",Resettable,30A,63V,250V,100A,Blade,Consumer Electronics
A028,"Indicators PN Electric Fuse, HRC, 10A, 32VAC, 48VDC, 50A (IR), Surface Mount",HRC,10A,32V,48V,50A,Surface Mount,Consumer Electronics
A029,"Indicators PN Electric Fuse, HRC, 15A, 63VAC, 150VDC, 50A (IR), Surface Mount",HRC,15A,63V,150V,50A,Surface Mount,Automotive
A030,"CircuitSafe Electric Fuse, Fast Blow, 1A, 32VAC, 60VDC, 35A (IR), Panel Mount",Fast Blow,1A,32V,60V,35A,Panel Mount,Industrial
A031,"AmpShield Electric Fuse, Resettable, 10A, 63VAC, 150VDC, 50A (IR), Panel Mount",Resettable,10A,63V,150V,50A,Panel Mount,Power Supply
A032,"CircuitSafe Electric Fuse, Fast Blow, 10A, 250VAC, 48VDC, 35A (IR), Surface Mount",Fast Blow,10A,250V,48V,35A,Surface Mount,Telecom
A033,"AmpShield Electric Fuse, PTC, 7A, 250VAC, 250VDC, 35A (IR), Surface Mount",PTC,7A,250V,250V,35A,Surface Mount,Automotive
A034,"AmpShield Electric Fuse, Resettable, 5A, 32VAC, 48VDC, 50A (IR), Through Hole",Resettable,5A,32V,48V,50A,Through Hole,Power Supply
A035,"AmpShield Electric Fuse, Fast Blow, 7A, 63VAC, 60VDC, 200A (IR), Through Hole",Fast Blow,7A,63V,60V,200A,Through Hole,Automotive
A036,"Voltguard Electric Fuse, HRC, 1A, 32VAC, 250VDC, 1500A (IR), Surface Mount",HRC,1A,32V,250V,1500A,Surface Mount,Automotive
A037,"Voltguard Electric Fuse, Fast Blow, 7A, 250VAC, 125VDC, 50A (IR), Blade",Fast Blow,7A,250V,125V,50A,Blade,Automotive
A038,"ProtecTech Electric Fuse, PTC, 0.5A, 250VAC, 60VDC, 200A (IR), Cartridge",PTC,0.5A,250V,60V,200A,Cartridge,Telecom
A039,"Indicators PN Electric Fuse, Resettable, 30A, 250VAC, 48VDC, 50A (IR), Cartridge",Resettable,30A,250V,48V,50A,Cartridge,Industrial
A040,"Indicators PN Electric Fuse, HRC, 30A, 300VAC, 24VDC, 10000A (IR), Cartridge",HRC,30A,300V,24V,10000A,Cartridge,Automotive
A041,"Indicators PN Electric Fuse, HRC, 10A, 300VAC, 150VDC, 50A (IR), Surface Mount",HRC,10A,300V,150V,50A,Surface Mount,Power Supply
A042,"Indicators PN Electric Fuse, Fast Blow, 1A, 300VAC, 24VDC, 10000A (IR), Through Hole",Fast Blow,1A,300V,24V,10000A,Through Hole,Telecom
A043,"AmpShield Electric Fuse, HRC, 2A, 300VAC, 150VDC, 35A (IR), Panel Mount",HRC,2A,300V,150V,35A,Panel Mount,Automotive
A044,"CircuitSafe Electric Fuse, Resettable, 20A, 300VAC, 150VDC, 100A (IR), Cartridge",Resettable,20A,300V,150V,100A,Cartridge,Industrial
A045,"CircuitSafe Electric Fuse, Fast Blow, 3A, 250VAC, 48VDC, 10000A (IR), Cartridge",Fast Blow,3A,250V,48V,10000A,Cartridge,Telecom
A046,"ProtecTech Electric Fuse, Slow Blow, 0.5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,0.5A,250V,150V,1500A,Surface Mount,Automotive
A047,"CircuitSafe Electric Fuse, Fast Blow, 15A, 125VAC, 48VDC, 100A (IR), Surface Mount",Fast Blow,15A,125V,48V,100A,Surface Mount,Industrial
A048,"ProtecTech Electric Fuse, Time Lag Blow, 1.5A, 250VAC, 150VDC, 10000A (IR), Cartridge",Time Lag Blow,1.5A,250V,150V,10000A,Cartridge,Power Supply
A049,"CircuitSafe Electric Fuse, Slow Blow, 25A, 300VAC, 60VDC, 10000A (IR), Surface Mount",Slow Blow,25A,300V,60V,10000A,Surface Mount,Industrial
A050,"ProtecTech Electric Fuse, Slow Blow, 1A, 400VAC, 150VDC, 50A (IR), Cartridge",Slow Blow,1A,400V,150V,50A,Cartridge,Consumer Electronics
